person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
34,female,Associate,35910,7,OWN,26968,HOMEIMPROVEMENT,7.09,0.75,11,583,Yes,0
22,female,Master,157739,4,RENT,7207,VENTURE,7.72,0.05,6,512,Yes,0
24,male,Associate,63939,6,OWN,25395,BUSINESS,14.06,0.4,22,493,No,0
25,male,High School,63839,7,RENT,7027,MEDICAL,7.97,0.11,16,475,Yes,0
57,female,Master,142056,1,OWN,45775,VENTURE,8.57,0.32,8,545,No,0
38,female,Associate,21083,19,MORTGAGE,41434,EDUCATION,14.27,1.0,17,660,No,0
24,male,Bachelor,112405,1,OWN,14071,BUSINESS,17.12,0.13,18,577,Yes,0
45,female,Master,154742,25,OWN,23546,HOMEIMPROVEMENT,12.53,0.15,14,588,Yes,0
22,female,Doctorate,69414,0,OWN,4839,VENTURE,12.85,0.07,20,569,Yes,0
27,male,Associate,81868,8,MORTGAGE,4664,EDUCATION,13.41,0.06,14,631,Yes,0
32,male,Doctorate,95362,12,MORTGAGE,46719,MEDICAL,17.47,0.49,2,810,No,0
57,male,Doctorate,61344,31,MORTGAGE,21254,EDUCATION,12.39,0.35,4,478,Yes,0
59,male,High School,150005,30,RENT,22740,HOMEIMPROVEMENT,8.92,0.15,6,624,Yes,0
41,male,High School,50721,18,MORTGAGE,10283,PERSONAL,16.66,0.2,13,487,No,0
46,male,Bachelor,91105,10,RENT,11322,BUSINESS,17.88,0.12,22,699,No,1
32,female,Associate,166389,13,RENT,25797,MEDICAL,15.31,0.16,11,515,Yes,0
21,female,Doctorate,20488,1,MORTGAGE,21854,HOMEIMPROVEMENT,9.15,1.0,20,503,No,0
30,female,High School,74389,5,OWN,12002,BUSINESS,17.12,0.16,4,812,No,1
49,male,Bachelor,66967,15,MORTGAGE,5442,MEDICAL,9.58,0.08,5,818,Yes,0
24,female,Master,122009,1,OWN,33314,VENTURE,10.71,0.27,14,501,No,0
57,male,Associate,130302,4,RENT,20327,PERSONAL,10.32,0.16,5,487,No,0
31,female,Associate,31661,8,RENT,23147,HOMEIMPROVEMENT,18.32,0.73,17,810,Yes,0
48,male,Doctorate,125823,5,RENT,7636,MEDICAL,8.97,0.06,8,659,No,1
39,female,Associate,37143,1,OWN,38471,HOMEIMPROVEMENT,16.58,1.0,6,477,No,0
21,female,High School,89214,3,RENT,7356,PERSONAL,8.98,0.08,22,599,Yes,0
51,male,Bachelor,116193,30,OWN,44321,MEDICAL,7.59,0.38,19,648,Yes,0
44,female,Bachelor,60911,14,RENT,18255,VENTURE,12.08,0.3,9,587,Yes,0
30,male,High School,102122,12,MORTGAGE,28131,HOMEIMPROVEMENT,9.23,0.28,3,648,No,1
55,female,Doctorate,73772,30,OWN,6174,VENTURE,17.33,0.08,24,467,Yes,0
28,female,Associate,55821,3,RENT,9269,PERSONAL,11.58,0.17,23,672,Yes,0
30,female,Bachelor,29566,1,OWN,37461,VENTURE,13.12,1.0,10,716,No,0
21,female,High School,120643,1,RENT,38132,HOMEIMPROVEMENT,13.49,0.32,5,504,Yes,0
39,female,Master,81241,12,MORTGAGE,32823,HOMEIMPROVEMENT,13.81,0.4,3,538,No,0
46,male,Doctorate,171555,21,MORTGAGE,27327,PERSONAL,11.25,0.16,12,803,Yes,0
24,female,Bachelor,109633,0,OWN,20861,MEDICAL,9.86,0.19,17,806,Yes,0
35,male,Bachelor,128158,10,OWN,48762,VENTURE,13.76,0.38,4,546,No,0
34,female,Master,147397,11,RENT,34768,EDUCATION,7.29,0.24,24,709,No,1
29,male,Associate,62531,3,RENT,17350,PERSONAL,11.98,0.28,13,810,Yes,0
38,female,Master,144415,12,MORTGAGE,9118,BUSINESS,6.87,0.06,13,700,No,1
32,female,Doctorate,156528,5,OWN,11716,MEDICAL,15.49,0.07,24,496,No,0
22,female,High School,54705,4,RENT,15506,BUSINESS,9.2,0.28,8,587,No,0
53,male,High School,136281,8,MORTGAGE,12350,HOMEIMPROVEMENT,16.11,0.09,9,579,No,0
38,female,Master,103412,14,OWN,15300,VENTURE,10.13,0.15,18,769,No,1
58,male,High School,146090,23,MORTGAGE,43424,HOMEIMPROVEMENT,13.81,0.3,11,800,Yes,0
51,male,Bachelor,84478,20,OWN,18114,BUSINESS,15.03,0.21,22,602,Yes,0
30,male,High School,169295,6,MORTGAGE,21944,BUSINESS,8.18,0.13,2,785,No,1
39,female,Master,118063,12,MORTGAGE,3314,HOMEIMPROVEMENT,15.0,0.03,20,547,No,0
35,female,Bachelor,144989,9,RENT,44097,HOMEIMPROVEMENT,8.67,0.3,5,691,Yes,0
37,male,Bachelor,35409,7,OWN,15636,BUSINESS,16.96,0.44,15,619,No,0
37,female,Master,42875,15,RENT,42575,HOMEIMPROVEMENT,13.46,0.99,21,486,No,0
33,male,Master,150893,9,OWN,4543,EDUCATION,8.15,0.03,8,625,No,0
57,female,Associate,94938,11,RENT,32954,MEDICAL,14.07,0.35,7,610,Yes,0
21,female,Bachelor,66888,1,MORTGAGE,11383,VENTURE,15.92,0.17,4,516,No,0
48,female,Master,137147,12,RENT,3472,HOMEIMPROVEMENT,8.89,0.03,13,457,No,0
54,male,High School,13081,15,RENT,46450,MEDICAL,10.25,1.0,5,646,No,0
31,male,High School,90171,4,OWN,48699,HOMEIMPROVEMENT,13.66,0.54,12,672,Yes,0
42,female,Bachelor,61394,5,OWN,2253,EDUCATION,9.19,0.04,6,558,Yes,0
58,male,High School,108099,2,OWN,42964,MEDICAL,15.75,0.4,21,474,Yes,0
27,male,High School,42353,6,OWN,25920,PERSONAL,13.07,0.61,17,809,Yes,0
34,male,Bachelor,122328,3,MORTGAGE,35098,MEDICAL,13.97,0.29,24,520,No,0
27,male,Bachelor,41887,1,OWN,14018,HOMEIMPROVEMENT,8.9,0.33,10,717,Yes,0
43,female,Bachelor,54040,1,MORTGAGE,33529,EDUCATION,14.76,0.62,17,619,Yes,0
21,male,High School,40948,3,RENT,6903,HOMEIMPROVEMENT,7.4,0.17,25,501,No,0
35,female,Bachelor,81238,14,RENT,7541,EDUCATION,16.99,0.09,11,634,No,0
48,male,High School,24029,0,RENT,44473,BUSINESS,8.55,1.0,13,674,No,0
26,female,Bachelor,59938,1,OWN,27230,VENTURE,9.76,0.45,14,803,No,0
47,male,High School,46737,22,MORTGAGE,4843,EDUCATION,7.74,0.1,20,697,No,1
32,female,Bachelor,172263,0,MORTGAGE,48662,EDUCATION,12.3,0.28,17,507,No,0
49,male,High School,80580,20,RENT,47174,BUSINESS,12.8,0.59,25,745,Yes,0
42,male,Master,77162,15,OWN,44496,BUSINESS,14.2,0.58,6,735,Yes,0
21,male,Doctorate,135021,3,RENT,5906,VENTURE,10.35,0.04,12,592,Yes,0
53,male,Doctorate,111257,25,RENT,6166,VENTURE,11.83,0.06,20,679,Yes,0
52,female,Bachelor,43118,31,MORTGAGE,43819,PERSONAL,7.73,1.0,15,468,Yes,0
26,female,Doctorate,159412,3,MORTGAGE,45005,VENTURE,17.9,0.28,13,477,Yes,0
50,female,Doctorate,174465,30,MORTGAGE,44068,MEDICAL,15.09,0.25,5,499,Yes,0
21,female,Bachelor,178110,2,MORTGAGE,35208,MEDICAL,14.93,0.2,3,534,No,0
29,female,High School,78660,9,RENT,13290,PERSONAL,17.66,0.17,14,560,No,0
33,female,High School,120650,1,MORTGAGE,45049,HOMEIMPROVEMENT,7.98,0.37,16,684,Yes,0
52,male,Doctorate,24732,27,MORTGAGE,32649,HOMEIMPROVEMENT,15.87,1.0,7,804,Yes,0
29,male,Master,169429,9,OWN,34037,VENTURE,11.52,0.2,21,804,Yes,0
38,female,Bachelor,89115,14,RENT,10055,VENTURE,13.73,0.11,25,712,No,1
56,female,Doctorate,177827,13,RENT,14743,HOMEIMPROVEMENT,15.07,0.08,23,626,Yes,0
32,female,High School,104337,8,OWN,39194,HOMEIMPROVEMENT,17.81,0.38,24,663,No,1
48,male,Doctorate,39910,0,OWN,10524,PERSONAL,14.54,0.26,8,586,Yes,0
39,female,Associate,28261,9,RENT,36466,PERSONAL,10.8,1.0,16,502,Yes,0
56,female,Associate,145935,18,MORTGAGE,44548,PERSONAL,17.62,0.31,14,663,No,1
56,male,High School,77887,12,MORTGAGE,30036,EDUCATION,17.44,0.39,24,813,No,1
58,male,Associate,89116,28,RENT,45738,PERSONAL,8.74,0.51,7,826,Yes,0
45,male,Master,85167,17,OWN,9524,EDUCATION,13.51,0.11,10,452,No,0
50,male,High School,52292,20,MORTGAGE,4332,BUSINESS,13.89,0.08,23,604,No,0
57,female,High School,95324,33,RENT,13050,HOMEIMPROVEMENT,7.32,0.14,18,531,No,0
55,female,High School,103593,14,RENT,44472,MEDICAL,10.47,0.43,11,561,No,0
56,male,High School,102703,28,RENT,43091,HOMEIMPROVEMENT,17.52,0.42,9,470,No,0
45,male,Master,79263,17,MORTGAGE,19535,PERSONAL,17.44,0.25,13,713,No,1
52,male,Bachelor,62465,20,MORTGAGE,6396,PERSONAL,8.51,0.1,19,723,Yes,0
25,male,Associate,123203,1,RENT,36242,BUSINESS,17.04,0.29,25,846,No,1
25,male,High School,132383,5,RENT,6735,PERSONAL,7.15,0.05,10,735,Yes,0
57,male,Bachelor,118858,24,OWN,42301,VENTURE,11.7,0.36,2,649,Yes,0
55,male,Doctorate,28577,37,RENT,46933,PERSONAL,10.79,1.0,18,504,No,0
40,male,Bachelor,126734,12,OWN,44301,PERSONAL,12.19,0.35,19,562,Yes,0
46,female,Associate,90133,21,MORTGAGE,43463,MEDICAL,17.99,0.48,2,733,Yes,0
28,male,High School,162134,9,OWN,36202,HOMEIMPROVEMENT,17.86,0.22,11,557,No,0
34,female,Doctorate,49343,5,RENT,15469,HOMEIMPROVEMENT,16.52,0.31,8,508,Yes,0
57,male,Doctorate,132917,35,RENT,20048,BUSINESS,7.31,0.15,5,551,No,0
42,female,Associate,73481,3,OWN,41600,PERSONAL,17.3,0.57,12,698,No,0
42,female,Doctorate,51949,18,MORTGAGE,24887,MEDICAL,18.0,0.48,7,452,No,0
36,male,Master,84529,11,RENT,45536,BUSINESS,10.48,0.54,17,686,No,0
43,female,Master,156617,3,RENT,43306,HOMEIMPROVEMENT,7.48,0.28,10,521,Yes,0
37,male,High School,16883,16,MORTGAGE,3044,HOMEIMPROVEMENT,13.45,0.18,20,558,Yes,0
56,female,Doctorate,153473,30,MORTGAGE,10740,MEDICAL,11.21,0.07,20,825,No,1
29,female,Doctorate,145801,1,OWN,24846,HOMEIMPROVEMENT,6.63,0.17,9,764,Yes,0
53,male,Master,53739,11,MORTGAGE,38081,BUSINESS,16.97,0.71,6,826,No,0
43,male,Associate,139832,7,RENT,18324,MEDICAL,9.31,0.13,23,555,No,0
45,female,Master,24173,1,MORTGAGE,22238,PERSONAL,14.94,0.92,18,774,No,0
37,male,Master,111226,11,MORTGAGE,43817,PERSONAL,12.7,0.39,14,564,No,0
43,female,Master,138382,19,RENT,33888,EDUCATION,11.78,0.24,9,489,No,0
34,male,Associate,53250,11,MORTGAGE,48009,PERSONAL,14.43,0.9,15,619,Yes,0
51,female,Master,67234,10,MORTGAGE,27928,PERSONAL,9.42,0.42,6,743,Yes,0
29,male,Doctorate,50499,0,RENT,17925,EDUCATION,12.7,0.35,14,756,Yes,0
39,male,Associate,129755,19,OWN,32566,EDUCATION,9.13,0.25,15,757,Yes,0
58,male,Doctorate,145904,16,RENT,48460,BUSINESS,10.61,0.33,16,755,Yes,0
35,female,Master,46658,3,RENT,14261,HOMEIMPROVEMENT,16.82,0.31,18,800,No,1
30,male,Associate,136746,9,MORTGAGE,3558,HOMEIMPROVEMENT,12.54,0.03,5,497,No,0
29,male,Master,148850,6,OWN,3846,BUSINESS,12.86,0.03,9,696,No,1
43,male,Master,47096,8,OWN,16237,PERSONAL,9.9,0.34,19,659,No,1
33,male,High School,163515,3,MORTGAGE,1471,VENTURE,14.35,0.01,24,611,No,0
44,male,Associate,123692,20,MORTGAGE,17622,MEDICAL,16.76,0.14,15,739,No,1
60,female,Master,65397,26,MORTGAGE,37540,VENTURE,8.64,0.57,19,734,No,0
37,female,Doctorate,102270,12,MORTGAGE,10048,BUSINESS,7.93,0.1,9,678,Yes,0
27,male,Doctorate,117004,5,MORTGAGE,41240,BUSINESS,14.71,0.35,3,532,No,0
21,male,Associate,135645,3,RENT,5199,MEDICAL,9.16,0.04,4,761,Yes,0
45,female,Doctorate,148578,9,MORTGAGE,40155,PERSONAL,17.85,0.27,7,777,No,1
49,male,Associate,147830,18,RENT,3202,HOMEIMPROVEMENT,12.63,0.02,24,568,Yes,0
23,female,Associate,12075,1,RENT,19083,VENTURE,10.74,1.0,14,657,Yes,0
54,male,High School,35636,35,OWN,48588,HOMEIMPROVEMENT,17.48,1.0,13,627,No,0
35,male,Master,117894,0,OWN,12471,VENTURE,12.57,0.11,19,487,No,0
42,male,Doctorate,79552,17,MORTGAGE,17393,BUSINESS,11.81,0.22,14,738,No,1
36,female,Master,132775,18,RENT,32586,PERSONAL,9.59,0.25,14,774,Yes,0
35,female,Master,104562,16,MORTGAGE,1637,BUSINESS,16.49,0.02,9,597,Yes,0
46,female,High School,157372,5,OWN,21569,MEDICAL,9.12,0.14,20,587,Yes,0
33,female,Associate,73567,7,OWN,14551,EDUCATION,8.93,0.2,9,766,No,1
30,male,High School,32575,10,MORTGAGE,33287,HOMEIMPROVEMENT,6.58,1.0,19,471,No,0
44,female,Master,162606,8,OWN,12984,HOMEIMPROVEMENT,9.86,0.08,9,834,Yes,0
24,female,Master,153759,0,MORTGAGE,23759,VENTURE,16.82,0.15,7,684,Yes,0
54,female,Bachelor,14206,0,MORTGAGE,14811,VENTURE,13.47,1.0,12,635,No,0
32,female,Associate,82623,7,MORTGAGE,23485,MEDICAL,8.71,0.28,15,557,No,0
44,female,Master,85303,14,RENT,38447,EDUCATION,18.25,0.45,23,567,Yes,0
38,male,Doctorate,125303,12,RENT,10558,BUSINESS,8.29,0.08,2,540,No,0
52,male,Doctorate,151980,20,OWN,20663,MEDICAL,13.25,0.14,20,474,No,0
27,male,High School,68483,4,OWN,42278,PERSONAL,11.9,0.62,12,583,No,0
44,female,Bachelor,17199,13,RENT,24009,BUSINESS,18.06,1.0,8,745,Yes,0
39,female,Bachelor,145809,15,MORTGAGE,30290,PERSONAL,11.07,0.21,11,687,Yes,0
31,female,Master,177484,9,MORTGAGE,27527,PERSONAL,7.45,0.16,12,566,No,0
41,female,Bachelor,170698,20,OWN,18776,VENTURE,15.87,0.11,13,832,No,1
47,male,Associate,18055,4,MORTGAGE,16376,BUSINESS,9.52,0.91,25,808,Yes,0
34,male,Master,39003,3,RENT,32010,HOMEIMPROVEMENT,7.15,0.82,14,718,Yes,0
27,female,Doctorate,52704,1,MORTGAGE,26548,MEDICAL,9.25,0.5,25,595,No,0
29,male,Doctorate,56723,0,RENT,44486,MEDICAL,16.82,0.78,12,693,No,0
55,female,Doctorate,128613,8,MORTGAGE,36342,EDUCATION,13.59,0.28,16,773,No,1
54,female,Bachelor,138262,34,RENT,6869,VENTURE,10.19,0.05,15,583,Yes,0
40,male,High School,149184,4,OWN,19793,VENTURE,12.92,0.13,24,701,No,1
40,male,Master,88787,19,RENT,1473,HOMEIMPROVEMENT,10.98,0.02,15,737,No,1
46,male,Associate,114163,26,OWN,15456,MEDICAL,7.45,0.14,22,572,No,0
39,female,Master,61283,2,RENT,9953,MEDICAL,7.82,0.16,16,766,No,1
38,female,Associate,96054,0,RENT,4252,HOMEIMPROVEMENT,6.77,0.04,5,594,No,0
29,female,High School,73029,1,RENT,1965,VENTURE,9.11,0.03,15,609,No,0
44,female,High School,98572,2,RENT,4672,MEDICAL,15.81,0.05,4,728,No,1
32,male,Bachelor,112028,13,RENT,8992,BUSINESS,9.49,0.08,16,576,Yes,0
33,female,High School,148613,6,OWN,26501,BUSINESS,18.03,0.18,12,531,Yes,0
56,male,Bachelor,138151,19,RENT,24620,PERSONAL,16.86,0.18,8,507,Yes,0
48,female,High School,55872,25,OWN,39318,PERSONAL,11.25,0.7,9,454,Yes,0
58,female,Doctorate,52630,23,RENT,17300,EDUCATION,12.5,0.33,23,766,No,1
24,male,Bachelor,52348,5,MORTGAGE,8038,EDUCATION,12.35,0.15,12,735,No,1
49,male,High School,111029,22,MORTGAGE,9829,MEDICAL,17.28,0.09,17,811,No,1
56,female,Doctorate,140474,12,MORTGAGE,13230,HOMEIMPROVEMENT,10.67,0.09,25,689,No,1
59,male,High School,151234,9,OWN,20377,MEDICAL,13.0,0.13,16,450,No,0
32,male,Doctorate,107440,12,MORTGAGE,16649,MEDICAL,15.15,0.15,23,725,No,1
33,female,Doctorate,52404,9,OWN,27856,BUSINESS,10.36,0.53,5,717,Yes,0
23,male,Associate,20198,1,RENT,32809,EDUCATION,7.69,1.0,20,778,No,0
52,female,High School,108037,14,MORTGAGE,48044,PERSONAL,6.66,0.44,8,785,No,1
26,female,High School,106614,8,MORTGAGE,28259,MEDICAL,16.03,0.27,3,765,No,1
54,male,High School,91666,4,RENT,35044,PERSONAL,7.71,0.38,9,722,No,1
33,male,Doctorate,77211,5,MORTGAGE,37578,VENTURE,15.45,0.49,22,745,No,0
50,female,High School,55728,11,MORTGAGE,27316,HOMEIMPROVEMENT,10.55,0.49,7,723,No,0
43,female,Doctorate,97106,11,OWN,42500,VENTURE,16.41,0.44,12,761,Yes,0
57,male,Master,156241,16,OWN,30648,VENTURE,18.02,0.2,2,821,Yes,0
39,male,Doctorate,47411,9,RENT,20682,EDUCATION,9.08,0.44,12,461,No,0
56,male,High School,21892,29,OWN,11230,EDUCATION,9.68,0.51,20,577,Yes,0
37,female,High School,161549,12,MORTGAGE,15249,BUSINESS,7.43,0.09,12,697,Yes,0
52,male,Doctorate,90746,2,MORTGAGE,38767,VENTURE,7.44,0.43,3,844,No,1
43,female,Master,43598,24,RENT,49999,BUSINESS,16.69,1.0,2,774,No,0
24,female,Doctorate,22795,2,MORTGAGE,38022,EDUCATION,10.42,1.0,24,563,Yes,0
24,female,Master,168010,4,MORTGAGE,6903,EDUCATION,11.68,0.04,14,525,Yes,0
42,male,Master,161799,23,RENT,36923,VENTURE,9.65,0.23,14,706,No,1
29,male,Master,158616,3,OWN,26907,BUSINESS,13.36,0.17,19,765,Yes,0
36,male,Bachelor,124739,10,MORTGAGE,38749,PERSONAL,7.85,0.31,15,666,No,1
43,male,Bachelor,102315,19,MORTGAGE,2586,MEDICAL,8.53,0.03,13,765,No,1
60,male,Master,23764,14,RENT,45915,MEDICAL,8.37,1.0,25,493,Yes,0
24,male,Doctorate,50712,6,OWN,1900,MEDICAL,14.83,0.04,5,606,No,0
51,male,Bachelor,66790,13,RENT,36810,HOMEIMPROVEMENT,15.5,0.55,19,697,Yes,0
22,female,Doctorate,150097,0,OWN,12162,PERSONAL,9.91,0.08,24,766,No,1
24,female,High School,29458,3,MORTGAGE,18780,BUSINESS,16.72,0.64,23,634,Yes,0
22,female,Master,72599,3,MORTGAGE,47510,PERSONAL,17.35,0.65,17,755,Yes,0
32,male,Doctorate,132058,8,MORTGAGE,2408,PERSONAL,9.47,0.02,18,606,No,0
52,female,Associate,16816,22,MORTGAGE,24062,MEDICAL,14.0,1.0,9,706,No,0
